recordID,analysisSingularTheme,p_stem_syllabified,p_stem_syllabified_corrected,Notes,lexiconGlossEnglish
738,nifif,ni.fif,,,funnel
739,mlhuf,ml.huf,,,greedy
740,!mmulz,m.mu.lz,,,sprain
741,nkʃum,nk.ʃum,,,entrance
742,kʃʃum,kʃ.ʃum,,,input (action)
748,!tmmaʕ,tm.maʕ,,,envious
749,!sifd,si.fd,,,"sending, mail"
751,!udnaj,ud.naj,,,"thick, fat (person or animal)"
752,zuraj,zu.raj,,,"thick, heavy (person or thing)"
753,zuri,zu.ri,,,thickness
755,iʁir,i.ʁir,,,shoulder
757,zlf,zlf,,,tassel (like for corn)
758,zlaf,z.laf,,,bowl
759,!ʕttar,ʕt.tar,,,"grocer, herbalist, spice seller, among other things"
760,snnan,sn.nan,,,spine
761,!zzlum,zz.lum,,,peeling
763,!krrad,kr.rad,,,peel
765,zmz,zmz,,,"time, mood"
766,zraw,z.raw,,,delousing
772,ʁʷlil,ʁ.lil,,,snail
773,smg,smg,,,slave
774,ʁʷndaf,ʁn.daf,,,"swindler, hustler"
776,ssufʁ,s.su.fʁ,,,swarm out of the hive
778,isi,i.si,,,platform
780,!nʕdub,nʕ.dub,,,crippled (person or animal)
782,fsar,f.sar,,,display
784,mda,m.da,,,pond
785,igzuli,ig.zu.li,,,to be short
786,msad,m.sad,,,state in which something is sharpened
787,lluqʒu,l.luq.ʒu,,,state which is dented
788,slaw,s.law,,,state which faded
789,gusmu,gus.mu,,,state of someone who is sated
790,urddm,u.rd.dm,,,state of a ceiling that leaks
794,!brajʃ,b.ra.jʃ,,,woolen cloth
795,itri,it.ri,,,star
797,ddhaʃ,dd.haʃ,,,astonishment
798,ʁufi,ʁu.fi,,,suffocation
933,sufʁ,su.fʁ,,,"exclusion, budding"
934,mzwug,mz.wug,,,exile
936,χsaj,χ.saj,,,extinction
937,mʕgaz,mʕ.gaz,,,lazy (person)
948,snuntf,s.nun.tf,,,"hurt, injury"
958,addad,ad.dad,,,pressing
959,!nggad,ng.gad,,,soaking
960,mslaw,ms.law,,,withered
961,zʕajti,z.ʕaj.ti,,,braggart
962,ʁzu,ʁ.zu,,,fantasy
963,!ʒʒakrar,ʒ.ʒak.rar,,,burden
964,ggʷrn,g.grn,,,flour
965,summr,sum.mr,,,"relaxation, sunshine"
968,nmgar,nm.gar,,,reaper (agriculture)
969,mgr,m.gr,,,sickle
970,smmawd,sm.ma.wd,,,sickle
971,nfluk,nf.luk,,,felucca
972,mʁar,m.ʁar,,,woman
973,maziʁ,ma.ziʁ,,,"Amazigh woman, Amazigh language"
974,!lfrm,l.frm,,,"slot, gap"
975,sttiʁ,st.tiʁ,,,"crack, crack"
978,uqqna,uq.q.na,,,closure
979,urgla,u.rg.la,,,"closing, latching"
980,qʒʒuħ,qʒ.ʒuħ,,,scrap
982,ħʃtaw,ħʃ.taw,,,wisp
983,!frad,f.rad,,,foliage
984,fraw,f.raw,,,sheet
985,!brwag,br.wag,,,turnip greens
987,baw,baw,,,bean
988,sli,s.li,,,fiancé
989,!zrzi,zr.zi,,,fibula
992,qurri,qur.ri,,,fig
993,kkʷrmis,k.kr.mis,,,green fig
994,buzzig,buz.zig,,,green fig
995,azar,a.zar,,,fig tree
997,knari,k.na.ri,,,"prickly pear, cactus fruit"
998,fili,fi.li,,,thread
999,ilmi,il.mi,,,result of spinning of wool
1002,staj,s.taj,,,"filter, strainer"
1003,usdid,us.did,,,"thin, skinny"
1004,igira,i.gi.ra,,,"end, lately"
1008,ʒʒig,ʒ.ʒig,,,flower
1010,asif,a.sif,,,river
1011,sdasi,s.da.si,,,flute with six holes
1012,asa,a.sa,,,liver
1013,χχlu,χχ.lu,,,madness
1014,nufl,nu.fl,,,madness
1015,alim,a.lim,,,straw
1017,fssaj,fs.saj,,,"cast, melting ..."
1018,agan,a.gan,,,forest
1019,!anud,a.nud,,,forge
1020,mzil,m.zil,,,black-smith
1021,!gʷdi,g.di,,,ditch
1022,mχlaw,mχ.law,,,crazy
1023,nafal,na.fal,,,crazy
1024,zfl,z.fl,,,whip
1026,frran,fr.ran,,,oven
1027,farnu,far.nu,,,oven
1028,azr,a.zr,,,fork
1029,ʁruʃ,ʁ.ruʃ,,,fork
1030,ʃawʃ,ʃa.wʃ,,,"fork, slingshot, branching part of a tree, farmer tool for straw with two pins"
1031,bawʃ,ba.wʃ,,,fork
1032,!udfi,ud.fi,,,ant
1033,ʒwaj,ʒ.waj,,,scabbard
1034,!irzi,ir.zi,,,fracture
1035,mrzu,mr.zu,,,broken
1036,zuzwu,zuz.wu,,,freshness
1037,wnza,wn.za,,,fringe
1038,!zag,zag,,,fringe
1041,gamrru,ga.mr.ru,,,hornet
1043,kʷrram,kr.ram,,,cold
1044,smmid,sm.mid,,,cold
1046,ildi,il.di,,,sling
1047,ignzi,i.gn.zi,,,front
1048,ammas,am.mas,,,"act of forming flour into meal (semoule, couscous)"
1049,ħukku,ħuk.ku,,,friction or rubbing
1053,blʁuʃ,bl.ʁuʃ,,,green fruit of the carob
1054,rula,ru.la,,,escape
1056,kmmaj,km.maj,,,smoker
1057,mkajfi,m.kaj.fi,,,smoker of kif
1058,sbajsi,s.baj.si,,,pipe smoker (kif)
1059,mazir,ma.zir,,,manure
1060,!izdi,iz.di,,,spindle
1061,!mʃttr,m.ʃt.tr,,,smart
1062,mrwl,mr.wl,,,fugitive
1063,skarkaz,s.kar.kaz,,,gaffe
1065,!gʷris,g.ris,,,pancake
1066,uʁrif,uʁ.rif,,,galette
1068,fruχ,f.ruχ,,,boy/girl
1069,ʕjjal,ʕj.jal,,,boy
1070,!idaf,i.daf,,,"custody, supervision"
1071,ʕssas,ʕs.sas,,,guardian
1072,ndaf,n.daf,,,guardian
1073,!adaf,a.daf,,,guard duty
1074,mazzal,maz.zal,,,"keeper, broker"
1076,!zwaj,z.waj,,,"shaking down (e.g., separating grain from straw)"
1078,!mzwaj,mz.waj,,,"person who separates grain from straw; tree shaker for fruit (e.g., olives)"
1079,!znkʷd,zn.kd,,,gazelle
1080,afar,a.far,,,turf
1082,dggʷal,dg.gal,,,"in-law relation (e.g., son-in-law, mother-in-law)"
1083,nnukmu,n.nuk.mu,,,"discomfort, hustle, rush"
1084,fud,fud,,,knee
1085,madaʁ,ma.daʁ,,,"pile of sheaves of wheat after harvest (or other grain, e.g., corn)"
1086,ffursl,f.fur.sl,,,"chapped skin on humans, due to cold"
1088,hakur,ha.kur,,,gizzard
1089,!dmmil,dm.mil,,,slap
1091,mrriq,mr.riq,,,slap
1092,!tbbil,tb.bil,,,slap
1096,kʷba,k.ba,,,lap (waist to knees)
1097,gri,g.ri,,,gleaning
1099,mgru,mg.ru,,,gleaner
1100,mgri,mg.ri,,,gleaner
1101,lʁʷrraf,l.ʁr.raf,,,cup
1103,!fizza,fiz.za,,,"chewing gum, resin which chews"
1104,aqqaj,aq.qaj,,,throat
1105,gʷmim,g.mim,,,mouthful
1106,ugmim,ug.mim,,,mouthful
1108,gllus,gl.lus,,,cudgel
1110,mqqi,mq.qi,,,drop
1111,saddam,sad.dam,,,gutter
1112,!zni,z.ni,,,grain
1113,aqqa,aq.qa,,,"grain, pearl"
1116,adunt,a.du.nt,,,fat
1117,sddul,sd.dul,,,large cover
1118,hrrandu,hr.ran.du,,,"big guy, like a giant (can be pejorative)"
1119,duħan,du.ħan,,,large mill
1120,ʃnbi,ʃn.bi,,,big hole
1122,iχibi,i.χi.bi,,,pitcherful
1123,ʁruʃ,ʁ.ruʃ,,,large fork
1125,brgmmi,br.gm.mi,,,big house
1126,fala,fa.la,,,large flat shovel ...
1127,aʁrar,aʁ.rar,,,large number
1128,iʁzi,iʁ.zi,,,"size, length"
1129,kʷmmaz,km.maz,,,scratching
1130,gadir,ga.dir,,,fortified granary
1131,gru,g.ru,,,frog
1136,!kizzi,kiz.zi,,,grinding
1139,kajja,kaj.ja,,,"thrush, black boy (type of bird)"
1140,aka,a.ka,,,large lizard
1141,!dnaj,d.naj,,,"large, thick"
1142,!ʃfri,ʃf.ri,,,big thorn
1145,bbankik,b.ban.kik,,,boulder
1146,frsi,fr.si,,,big board
1147,fri,f.ri,,,cave
1148,!kabar,ka.bar,,,"group, convoy"
1150,saka,sa.ka,,,ford
1151,mdaj,m.daj,,,ambush
1153,χmum,χ.mum,,,mouth
1154,gamum,ga.mum,,,mouth
1156,qʃʃab,qʃ.ʃab,,,long habit
1157,mzdaʁ,mz.daʁ,,,inhabitant
1158,uzdʁ,uz.dʁ,,,home
1160,mlsi,ml.si,,,clothes
1161,amjur,am.jur,,,habit
1162,nmjur,nm.jur,,,used to
1163,ʃaqqur,ʃaq.qur,,,ax
1164,ħajk,ħa.jk,,,haik
1166,!dwwar,dw.war,,,hamlet
1167,!akʷd,a.kd,,,hook
1168,glgiz,gl.giz,,,cockchafer beetle
1169,!ħurri,ħur.ri,,,person who is free or pure
1170,attaj,at.taj,,,"height, elevation"
1171,zri,z.ri,,,mugwort
1172,saʁur,sa.ʁur,,,dry grass
1173,bumħmd,bum.ħmd,,,hedgehog
1174,ajasi,a.ja.si,,,legacy
1176,mkkasu,mk.ka.su,,,heir
1177,mkkisi,mk.ki.si,,,heir
1178,agrs,a.grs,,,winter
1179,aruʃ,a.ruʃ,,,lobster
1180,rgaz,r.gaz,,,man
1181,!sddaħmar,sd.daħ.mar,,,black man (pejorative)
1182,hrmma,hrm.ma,,,man dressed in sheepskin (rite)
1183,bijlmawn,bi.jl.ma.wn,,,man dressed in sheepskin (rite)
1184,maziʁ,ma.ziʁ,,,"free, Berber"
1185,!ħuttu,ħut.tu,,,hiccup
1188,madir,ma.dir,,,hoe
1190,ħʃuʃ,ħ.ʃuʃ,,,hut
1191,fis,fis,,,hyena
1192,mdhuʃ,md.huʃ,,,impressionable person
1193,!ʃrad,ʃ.rad,,,incision on a body
1196,kuʃam,ku.ʃam,,,handicapped person who cannot walk
1197,kuʃm,ku.ʃm,,,"disability, paralysis"
1198,nkkar,nk.kar,,,ungrateful person
1199,!lutar,lu.tar,,,stringed musical instrument
1201,!skkrd,sk.krd,,,"instrument to scrape, scraper"
1202,idrusi,id.ru.si,,,"failure, scarcity"
1204,!ʃʃtar,ʃʃ.tar,,,"intelligence, cunning"
1206,gʷns,gns,,,inside
1207,liwi,li.wi,,,intestine
1208,rzzif,rz.zif,,,"invitation, visit"
1209,sswi,ss.wi,,,irrigation
1210,lislam,lis.lam,,,Islam
1212,skajri,s.kaj.ri,,,drunkard
1213,ħgru,ħg.ru,,,crop
1214,ssiki,s.si.ki,,,fallow
1217,lħasada,l.ħa.sa.da,,,jealousy
1218,ħssad,ħs.sad,,,jealous person
1219,mħsad,mħ.sad,,,"jealous, envious person"
1222,sawraʁ,saw.raʁ,,,jaundice
1225,abbaj,ab.baj,,,card game with stakes
1226,qʷmmar,qm.mar,,,gambler
1228,rrʃuq,rr.ʃuq,,,"joy, enthusiasm, joy"
1229,guzz,guz.z,,,cheek
1230,mʒarraj,m.ʒar.raj,,,imitating a child's toy car
1231,zzaglu,z.zag.lu,,,yoke
1232,ass,as.s,,,day
1233,mkiri,m.ki.ri,,,day laborer
1234,nfruħ,nf.ruħ,,,merry person
1235,udaj,u.daj,,,Jew
1238,ajrza,a.jr.za,,,plowing
1240,mkraz,mk.raz,,,plowman
1241,mχʃun,mχ.ʃun,,,ugly person
1242,lχʷʃant,lχ.ʃa.nt,,,ugliness
1243,kʷfaj,k.faj,,,milk
1244,adʁar,ad.ʁar,,,"shred of cloth or tissue, flap"
1245,mummuj,mum.muj,,,lamentation
1248,satl,sa.tl,,,"diaper, strip of cloth"
1249,ils,i.ls,,,tongue
1250,qʷlil,q.lil,,,rabbit
1251,urru,ur.ru,,,"width, thickness, diameter"
1252,!mtta,mt.ta,,,tear
1253,!awdid,aw.did,,,locust larvae
1254,!hrussu,h.rus.su,,,"lassitude, weakness"
1255,lili,li.li,,,oleander
1256,rid,rid,,,washing
1257,mggʷa,mg.ga,,,washer
1258,sggʷrd,sg.grd,,,wash
1259,uluʁ,u.luʁ,,,licking
1261,ʁri,ʁ.ri,,,"reading, studies"
1262,fssi,fs.si,,,lightness
1263,ugu,u.gu,,,"laundry, washing"
1264,bra,b.ra,,,letter
1265,nʃr,n.ʃr,,,lip
1266,anfur,an.fur,,,lower lip
1268,qʒdr,qʒ.dr,,,lizard
1269,assas,as.sas,,,link
1270,skrf,s.krf,,,"link, hobble for horse or other livestock"
1272,srir,s.rir,,,meeting place
1273,sajs,sa.js,,,meeting place
1275,izm,i.zm,,,lion
1276,grzam,gr.zam,,,lion
1278,ħlallaj,ħ.lal.laj,,,"smooth and rounded thing (e.g., a stone shaped by water)"
1279,lkri,lk.ri,,,"lease, rent"
1280,ʁzzajfu,ʁz.zaj.fu,,,"long, tall, tall person"
1281,brdi,br.di,,,rag
1282,ʃlliq,ʃl.liq,,,rag
1283,hdduz,hd.duz,,,rag
1284,ʁʷnʒa,ʁn.ʒa,,,ladle
1285,sagʷm,sa.gm,,,scoop
1286,srks,sr.ks,,,ladle to mix
1288,ziwl,zi.wl,,,cross-eyed
1290,krraj,kr.raj,,,"landlord, tenant"
1291,!azdaj,az.daj,,,heaviness
1292,zal,zal,,,daylight
1293,ufaw,u.faw,,,light
1294,ifaw,i.faw,,,"light, clarity"
1295,mhddr,m.hd.dr,,,"luron, energetic person, joker"
1296,amaʁ,a.maʁ,,,fight
1297,miʁ,miʁ,,,"fight, fight action"
1300,agʒa,ag.ʒa,,,jaw
1301,bnnaj,bn.naj,,,mason
1303,ndʕuf,nd.ʕuf,,,lean person or animal
1304,sddi,sd.di,,,"leanness, thinness"
1305,msdadu,ms.da.du,,,skinny person or animal
1306,fus,fus,,,hand
1307,!kʷrʃʃid,krʃ.ʃid,,,hand (pejorative)
1308,gmmi,gm.mi,,,home
1311,!madun,ma.dun,,,sick person (patient)
1313,imssi,i.ms.si,,,disease (affects chickens)
1314,waʃʃ,waʃ.ʃ,,,"unlucky person, someone who attracts problems"
1315,awtm,aw.tm,,,male
1317,!ddakku,d.dak.ku,,,handlebar plow
1319,kbur,k.bur,,,how to arrange the haïk on the head
1320,ssudu,s.su.du,,,how to ride (a horse)
1321,skʷti,sk.ti,,,crank
1322,dalli,dal.li,,,low self esteem
1324,glagal,g.la.gal,,,marsh
1325,wada,wa.da,,,walking
1326,skʷfl,sk.fl,,,stair
1330,mzigz,m.zi.gz,,,walker
1331,mʁra,mʁ.ra,,,marriage
1332,bħri,bħ.ri,,,"marine, sailor"
1333,kin,kin,,,cooking pot
1334,gdur,g.dur,,,cooking pot
1337,kssal,ks.sal,,,masseur
1338,!gzaz,g.zaz,,,chewing
1340,mhruʃ,mh.ruʃ,,,bad person
1341,!gzzaz,gz.zaz,,,stomach ache
1342,!dbib,d.bib,,,doctor
1343,safar,sa.far,,,drug
1345,bʒaw,b.ʒaw,,,mehari (dromedary camel)
1347,mrwaj,mr.waj,,,"mixture, mess"
1348,rkkis,rk.kis,,,liquid mixture
1349,rkuku,r.ku.ku,,,liquid mixture of flour
1350,rggʷaj,rg.gaj,,,"mixing, disorder"
1355,frdi,fr.di,,,"member of a pair of things (e.g., shoes, socks)"
1356,ħssu,ħs.su,,,"memory, learning"
1357,mnqqr,mnq.qr,,,beggar
1363,!nʒʒar,nʒ.ʒar,,,carpenter
1364,!lħggʷar,l.ħg.gar,,,contempt
1367,mkraj,mk.raj,,,mercenary
1368,sqqul,sq.qul,,,measurement (= arm)
1369,!ftri,ft.ri,,,grain measure
1370,!ʕbbar,ʕb.bar,,,"measuring, measuring vessel, weighing or measuring person"
1373,stta,st.ta,,,loom
1374,ajssa,a.js.sa,,,shepherding
1376,ħzgan,ħz.gan,,,mestizo
1377,ijja,ij.ja,,,meter (poetry)
1379,ilqqi,i.lq.qi,,,bread crumb
1381,swwan,sw.wan,,,kite
1382,!ifd,i.fd,,,thousand
1383,!drrab,dr.rab,,,minor
1384,zbabaj,z.ba.baj,,,"tiny, thin thing"
1385,mmara,m.ma.ra,,,"misery, suffering, toiling"
1386,mtʃi,mt.ʃi,,,"moth, moth"
1387,!zikki,zik.ki,,,sparrow
1388,ajjur,aj.jur,,,month
1389,nʁmal,nʁ.mal,,,"mold, fungus"
1391,mgra,mg.ra,,,harvest
1392,uluʁ,u.luʁ,,,softness
1394,ħʃmi,ħʃ.mi,,,"kid, child"
1395,murran,mur.ran,,,monster (extremely strong person)
1396,gri,g.ri,,,assembly (loom)
1397,budrar,bud.rar,,,mountaineer
1398,drar,d.rar,,,mountain
1399,ʁlaj,ʁ.laj,,,rise
1403,baduz,ba.duz,,,mound
1405,!ttnz,t.tnz,,,mockery
1406,!tnnaz,tn.naz,,,mocker
1408,!qdiʕ,q.diʕ,,,piece
1409,!kʃʃud,kʃ.ʃud,,,piece of wood
1410,ubbiʃ,ub.biʃ,,,piece of bread
1411,gzzum,gz.zum,,,"piece, tearing action"
1413,frdu,fr.du,,,mortar (container)
1414,χʷlil,χ.lil,,,glanders (disease)
1415,qʷbajs,q.ba.js,,,sod
1416,!uttub,ut.tub,,,clod
1417,lggʷaʁ,lg.gaʁ,,,soft thing
1418,izi,i.zi,,,fly
1420,udad,u.dad,,,mouflon (wild sheep)
1421,will,wil.l,,,mussels
1422,gri,g.ri,,,mussels
1423,zrg,zrg,,,"quern, hand mill"
1424,wabiba,wa.bi.ba,,,mosquito
1427,gnaw,g.naw,,,mute
1429,srdun,sr.dun,,,mule
1430,buri,bu.ri,,,mullet (fish)
1431,ugu,u.gu,,,"multitude, abundance"
1432,ʁʷrab,ʁ.rab,,,wall
1433,qmmu,qm.mu,,,snout
1434,gnfur,gn.fur,,,snout
1435,skʷms,s.kms,,,"haversack, bag for bullets"
1436,muslm,mu.slm,,,Muslim
1438,ʕwwam,ʕw.wam,,,swimmer
1439,alali,a.la.li,,,birth
1441,χnχam,χn.χam,,,nasal (someone who speaks with a nasal sound)
1443,grtil,gr.til,,,mat
1444,mmuktu,m.muk.tu,,,nausea
1446,rkkim,rk.kim,,,turnip
1447,anaw,a.naw,,,ship
1448,suqqi,suq.qi,,,slave
1449,wajja,waj.ja,,,slave
1451,dfl,d.fl,,,snow
1453,χittus,χit.tus,,,simpleton
1454,sddi,sd.di,,,nest
1456,ajrris,a.jr.ris,,,node
1457,mukris,muk.ris,,,"node, problem, boredom (fig)"
1458,sggan,sg.gan,,,black thing
1459,dili,di.li,,,black
1460,sguni,s.gu.ni,,,darkness
1461,!dlu,d.lu,,,"blackness, darkening"
1462,sm,sm,,,name
1463,mntag,mn.tag,,,person who comes from Imntagn region
1464,!rħħal,rħ.ħal,,,nomad
1465,!abud,a.bud,,,belly button
1466,bahlal,bah.lal,,,nonchalant
1467,nmʁur,nm.ʁur,,,notable
1468,mʁur,m.ʁur,,,notable person
1469,mʁar,m.ʁar,,,"notable, the village chief"
1471,wmmis,wm.mis,,,"nouet, amulet"
1472,unkir,un.kir,,,"infant, sapling"
1473,mtʃu,mt.ʃu,,,food
1474,mzdi,mz.di,,,"guest, an invited person"
1475,ʁʷrmi,ʁr.mi,,,core
1476,mdlu,md.lu,,,cloud
1477,!id,id,,,night
1478,!ħttuz,ħt.tuz,,,obese person
1479,!tbbuz,tb.buz,,,obese person
1480,!ħtabbaz,ħ.tab.baz,,,obese person
1481,afaw,a.faw,,,luminous object
1484,mrsal,mr.sal,,,red ocher
1485,!adu,a.du,,,odor
1486,!it,it,,,eye
1487,glaj,g.laj,,,egg
1488,!ʁʷzn,ʁ.zn,,,ogre
1491,mʁuz,m.ʁuz,,,scavenger bird
1492,fraraj,f.ra.raj,,,chick
1493,sajlal,saj.lal,,,chick
1494,sklu,sk.lu,,,shadow
1495,malu,ma.lu,,,shadow
1496,zzʁʷr,zz.ʁr,,,unction
1497,iskr,is.kr,,,"nail, fingernail"
1498,urʁ,u.rʁ,,,gold (by metonymy)
1499,mzzuʁ,mz.zuʁ,,,ear
1501,sjjaʁ,sj.jaʁ,,,goldsmith
1502,!ild,i.ld,,,stye
1503,lkibr,l.ki.br,,,pride
1504,nkkabru,nk.kab.ru,,,proud person (negative connotation)
1505,ħiħi,ħi.ħi,,,Haha native (region of Morocco)
1506,!lasl,la.sl,,,origin
1507,gigil,gi.gil,,,orphan
1508,fdni,fd.ni,,,toe
1509,fnzi,fn.zi,,,"toe, hoof"
1510,χs,χs,,,bone
1511,!zzmaj,zz.maj,,,"wicker, cane, plants with flexible stems"
1513,gʷʒʒim,gʒ.ʒim,,,ouran (peacock monitor lizard)
1515,allam,al.lam,,,"hem, hemming"
1516,mħukku,m.ħuk.ku,,,tool to rub the skin
1517,gʃʃul,gʃ.ʃul,,,sack made from the skin of an animal
1518,ajddid,a.jd.did,,,"water sack, made from animal skin"
1519,!rzzum,rz.zum,,,opening
1520,mʃʁul,mʃ.ʁul,,,worker
1522,ʁrum,ʁ.rum,,,bread
1523,azgmmu,az.gm.mu,,,bread (grains pounding Argan)
1527,anʁa,an.ʁa,,,palate (mouth)
1528,gʒʒuf,gʒ.ʒuf,,,date palm
1529,billu,bil.lu,,,"part of a dress than hangs down, bang"
1530,sgrs,s.grs,,,shopping cart
1531,arjal,ar.jal,,,shopping cart
1532,azgaw,az.gaw,,,shopping cart
1534,bddiz,bd.diz,,,"rumen, first stomach of a ruminant"
1535,!frtuttu,fr.tut.tu,,,butterfly
1536,uʒʒu,uʒ.ʒu,,,perfume
1540,wal,wal,,,"speech, language"
1541,!itti,it.ti,,,sharing
1545,χʷrbiʃ,χr.biʃ,,,part of a Koranic school
1546,ʃbbiħ,ʃb.biħ,,,step (walking)
1547,zraj,z.raj,,,passage
1552,frdi,fr.di,,,pasture grazing action of eating (animals)
1553,dikl,di.kl,,,palm
1554,irgl,ir.gl,,,eyelid
1555,gllin,gl.lin,,,"poor, pitiful"
1556,mazir,ma.zir,,,"country, region"
1557,lm,lm,,,skin
1558,ifrir,if.rir,,,skin (boiled milk)
1559,fjjuʃ,fj.juʃ,,,skin of argan fruit
1560,!hidur,hi.dur,,,sheepskin
1561,iliwʃ,i.li.wʃ,,,sheepskin to sit
1562,!sjjad,sj.jad,,,fisherman or hunter
1566,sbbaʁ,sb.baʁ,,,painter (non-artistic painting)
1569,fala,fa.la,,,shovel to introduce flat bread ...
1570,frkki,frk.ki,,,"film, crust"
1571,ilmʃ,i.lmʃ,,,peel
1573,!bʒdid,bʒ.did,,,penis
1574,!bazza,baz.za,,,penis
1575,bakku,bak.ku,,,animal penis
1576,swingim,s.win.gim,,,"thought, reflection"
1578,aggsar,ag.g.sar,,,sloping ravine
1581,!grnid,gr.nid,,,partridge
1582,skkur,sk.kur,,,partridge
1583,agʷri,ag.ri,,,peril
1584,bijrkan,bi.jr.kan,,,filthy person
1585,mdallu,m.dal.lu,,,person without self-esteem
1586,uʒliχ,uʒ.liχ,,,very dirty person
1587,!ssdl,ss.dl,,,small tub
1588,!lfdur,lf.dur,,,breakfast
1592,ʁrʁur,ʁr.ʁur,,,small hand mill
1593,ddwajri,dd.waj.ri,,,parlor
1597,mʒiwʒ,m.ʒi.wʒ,,,small tornado
1599,awda,aw.da,,,"fear, fright"
1600,!dar,dar,,,foot
1602,!zru,z.ru,,,stone
1603,aggun,ag.gun,,,stone
1604,smsd,sm.sd,,,"whetstone, sharpening"
1605,nk,nk,,,stone fireplace
1606,tbir,t.bir,,,pigeon
1608,ubuk,u.buk,,,pounding
1611,amur,a.mur,,,pestle
1612,sakkʷm,sak.km,,,pestle
1613,sabbuk,sab.buk,,,"pestle, mallet"
1614,fifl,fi.fl,,,chili (du)
1616,sbbunz,sb.bu.nz,,,pinch
1617,bbuniz,b.bu.niz,,,Pinch
1621,glzim,gl.zim,,,pickaxe
1624,agus,a.gus,,,"picket, stake"
1626,zaʁar,za.ʁar,,,plain
1627,smummi,s.mum.mi,,,complaint
1630,!lħdr,lħ.dr,,,joke
1632,!uzu,u.zu,,,seedling
1633,brsmmum,br.sm.mum,,,plant with acidic taste
1634,baʃil,ba.ʃil,,,sole (of foot)
1635,fzi,f.zi,,,species of mugwort
1637,fllun,fl.lun,,,earthenware dish for bread
1638,!rbʕi,rb.ʕi,,,tray made of palm leaves
1640,!nidi,ni.di,,,fold
1643,!nzar,n.zar,,,rain
1644,!rʃʃaʃ,rʃ.ʃaʃ,,,very light rain
1645,natuf,na.tuf,,,"plucked (of an animal, e.g., lost feathers or fur)"
1647,lʒib,l.ʒib,,,pocket
1648,lmqla,l.mq.la,,,stove
1649,zli,z.li,,,poem
1651,!nddam,nd.dam,,,"poet; poem, poetry, poet, wife, job, art of the poet"
1653,!ummaz,um.maz,,,handle
1654,!ummiz,um.miz,,,handle
1655,izbl,iz.bl,,,hair
1656,slm,slm,,,fish
1657,dmr,d.mr,,,chest
1658,gnannaj,g.nan.naj,,,polished and rounded (stone)
1659,!sgutti,s.gut.ti,,,spawn
1660,aruʃ,a.ruʃ,,,porcupine
1661,flu,f.lu,,,portal
1662,aggur,ag.gur,,,portal
1666,massaj,mas.saj,,,"carrier, transporter"
1667,grrab,gr.rab,,,carrier of water
1669,nmdaj,nm.daj,,,setter of traps
1670,gʷnnir,gn.nir,,,"ass, backside"
1671,ʃigim,ʃi.gim,,,terracotta pot
1672,ʒwwal,ʒw.wal,,,pot for plants
1673,gʷmz,gmz,,,inch
1674,nʁda,nʁ.da,,,"powder, grind"
1675,nʁʷr,n.ʁr,,,chicken coop
1676,ʒdaʕ,ʒ.daʕ,,,foal
1678,zajz,za.jz,,,octopus
1679,χuʒmu,χuʒ.mu,,,decay
1680,nttaw,nt.taw,,,thrust
1683,ʁʷbbar,ʁb.bar,,,dust
1684,!gdrur,gd.rur,,,dust
1685,kjjaw,kj.jaw,,,chick
1687,gʒdi,gʒ.di,,,wooden beam
1688,mzwaru,mz.wa.ru,,,first thing
1689,mzwur,mz.wur,,,first predecessor
1694,!rttal,rt.tal,,,"loans, borrowings"
1696,matar,ma.tar,,,proof
1697,!azalli,a.zal.li,,,prayer
1698,mʁʷaj,m.ʁaj,,,taking
1699,!mmaz,m.maz,,,taking
1700,!awmmiz,a.wm.miz,,,taking both hands
1701,atig,a.tig,,,price
1702,adru,ad.ru,,,depth
1704,arraw,ar.raw,,,"offspring, progeny"
1705,smurri,s.mur.ri,,,walk
1706,murri,mur.ri,,,walk
1708,mallaj,mal.laj,,,"drive, tourism"
1709,ʒmuʕ,ʒ.muʕ,,,"talk about, chat"
1710,uʁus,u.ʁus,,,cleanliness
1711,mggan,mg.gan,,,prostitute
1713,ʒarra,ʒar.ra,,,provincial (pejorative) person
1714,ʒkʷni,ʒk.ni,,,provincial (pejorative) person
1715,qwwad,qw.wad,,,procurer
1717,nzzammu,nz.zam.mu,,,stinking
1719,!uʒʒu,uʒ.ʒu,,,stink
1720,zamma,zam.ma,,,stink
1721,ggʷrdi,g.gr.di,,,chip
1724,aggʷam,ag.gam,,,bailing water
1726,nagam,na.gam,,,whelk
1727,anu,a.nu,,,well
1729,tamimt,ta.mi.mt,,,quality that is sweet
1730,sqsi,sq.si,,,issue interrogation
1732,mʁil,m.ʁil,,,tail
1733,!mjjad,mj.jad,,,someone having the evil eye
1734,!mlzi,ml.zi,,,one who has a sprain
1735,mʕkas,mʕ.kas,,,one who likes to oppose
1736,!mittus,mit.tus,,,"one who sleeps all the time, lazy person"
1737,mssfld,ms.s.fld,,,"listener, like in a radio audience"
1738,msl,m.sl,,,saddle
1739,!zur,zur,,,"root, nerve"
1740,!krad,k.rad,,,scraping
1742,!zzgd,zz.gd,,,rage
1743,!sid,sid,,,rage
1744,!adil,a.dil,,,grapes
1745,zdam,z.dam,,,wood collection
1748,nzdam,nz.dam,,,gatherer of wood
1749,glu,g.lu,,,oar
1750,nbdad,nb.dad,,,banister
1751,sbri,sb.ri,,,grater
