output_row,input,source_column,gloss,plural_theme,singular_theme
663,skarkaz,analysisPluralTheme,gaffe,skarkaz,skarkaz
664,mssggar,analysisPluralTheme,pledge,mssggar,mssggar
665,!gʷris,analysisPluralTheme,pancake,!gʷris,!gʷris
666,uʁrif,analysisPluralTheme,galette,uʁrif,uʁrif
667,wlal,analysisPluralTheme,ganglion,wlal,wlal
668,frχ(a),analysisPluralTheme,boy/girl,frχ(a),fruχ
669,ʕjjal,analysisPluralTheme,boy,ʕjjal,ʕjjal
671,ʕssas,analysisPluralTheme,guardian,ʕssas,ʕssas
672,ndaf,analysisPluralTheme,guardian,ndaf,ndaf
674,mazzal,analysisPluralTheme,"keeper, broker",mazzal,mazzal
675,!zwaj,analysisPluralTheme,"shaking down (e.g., separating grain from straw)",!zwaj,!zwaj
676,!mzwaj,analysisPluralTheme,"person who separates grain from straw; tree shaker for fruit (e.g., olives)",!mzwaj,!mzwaj
677,!znkʷad,analysisPluralTheme,gazelle,!znkʷad,!znkʷd
679,dula,analysisPluralTheme,"in-law relation (e.g., son-in-law, mother-in-law)",dula,dggʷal
681,fadd,analysisPluralTheme,knee,fadd,fud
682,madaʁ,analysisPluralTheme,"pile of sheaves of wheat after harvest (or other grain, e.g., corn)",madaʁ,madaʁ
683,ffursal,analysisPluralTheme,"chapped skin on humans, due to cold",ffursal,ffursl
684,hukar,analysisPluralTheme,gizzard,hukar,hakur
685,!dmmil,analysisPluralTheme,slap,!dmmil,!dmmil
686,mrriq,analysisPluralTheme,slap,mrriq,mrriq
687,!tbbil,analysisPluralTheme,slap,!tbbil,!tbbil
688,kʷbatn,analysisPluralTheme,lap (waist to knees),kʷbatn,kʷba
690,mgra,analysisPluralTheme,gleaner,mgra,mgru
691,mgr(a),analysisPluralTheme,gleaner,mgr(a),mgri
692,lʁʷaf,analysisPluralTheme,cup,lʁʷaf,lʁʷrraf
694,aqqaj,analysisPluralTheme,throat,aqqaj,aqqaj
695,gʷmim,analysisPluralTheme,mouthful,gʷmim,gʷmim
696,ugmim,analysisPluralTheme,mouthful,ugmim,ugmim
697,gʷllas,analysisPluralTheme,cudgel,gʷllas,gllus
698,mqqa,analysisPluralTheme,drop,mqqa,mqqi
699,saddam,analysisPluralTheme,gutter,saddam,saddam
700,!zn,analysisPluralTheme,grain,!zn,!zni
701,aqqaj,analysisPluralTheme,"grain, pearl",aqqaj,aqqa
702,urkim,analysisPluralTheme,boiled seeds,urkim,
703,ruf,analysisPluralTheme,roasted seeds,ruf,
705,sddal,analysisPluralTheme,large cover,sddal,sddul
706,hrrandu,analysisPluralTheme,"big guy, like a giant (can be pejorative)",hrrandu,hrrandu
707,duħan,analysisPluralTheme,large mill,duħan,duħan
708,ʃnba,analysisPluralTheme,big hole,ʃnba,ʃnbi
709,ssgna,analysisPluralTheme,minute hand,ssgna,ssgni
710,iχibit,analysisPluralTheme,pitcherful,iχibit,iχibi
711,ʁʷraʃ,analysisPluralTheme,large fork,ʁʷraʃ,ʁruʃ
712,brgmmit,analysisPluralTheme,big house,brgmmit,brgmmi
713,falat,analysisPluralTheme,large flat shovel ...,falat,fala
716,kʷmmaz,analysisPluralTheme,scratching,kʷmmaz,kʷmmaz
717,gudar,analysisPluralTheme,fortified granary,gudar,gadir
718,gʷra,analysisPluralTheme,frog,gʷra,gru
719,!kazza,analysisPluralTheme,grinding,!kazza,!kizzi
720,kajjat,analysisPluralTheme,"thrush, black boy (type of bird)",kajjat,kajja
721,akat,analysisPluralTheme,large lizard,akat,aka
722,!dnaj,analysisPluralTheme,"large, thick",!dnaj,!dnaj
723,!ʃfraj,analysisPluralTheme,big thorn,!ʃfraj,!ʃfri
724,bbankik,analysisPluralTheme,boulder,bbankik,bbankik
725,frsaj,analysisPluralTheme,big board,frsaj,frsi
726,fra,analysisPluralTheme,cave,fra,fri
727,!kabar,analysisPluralTheme,"group, convoy",!kabar,!kabar
728,sakat,analysisPluralTheme,ford,sakat,saka
729,mdaj,analysisPluralTheme,ambush,mdaj,mdaj
730,χmʷam,analysisPluralTheme,mouth,χmʷam,χmum
731,gumam,analysisPluralTheme,mouth,gumam,gamum
732,qʃʃb(a),analysisPluralTheme,long habit,qʃʃb(a),qʃʃab
733,mzdaʁ,analysisPluralTheme,inhabitant,mzdaʁ,mzdaʁ
737,nmjur,analysisPluralTheme,used to,nmjur,nmjur
738,ʃuqqar,analysisPluralTheme,ax,ʃuqqar,ʃaqqur
739,ħujak,analysisPluralTheme,haik,ħujak,ħajk
740,!dwwar,analysisPluralTheme,hamlet,!dwwar,!dwwar
741,!ukad,analysisPluralTheme,hook,!ukad,!akʷd
742,glgiz,analysisPluralTheme,cockchafer beetle,glgiz,glgiz
743,!ħurr(i),analysisPluralTheme,person who is free or pure,!ħurr(i),!ħurri
744,attaj,analysisPluralTheme,"height, elevation",attaj,attaj
747,bumħmd,analysisPluralTheme,hedgehog,bumħmd,bumħmd
749,mkkusa,analysisPluralTheme,heir,mkkusa,mkkasu
750,mkkas(a),analysisPluralTheme,heir,mkkas(a),mkkisi
752,uraʃ,analysisPluralTheme,lobster,uraʃ,aruʃ
753,rgaz,analysisPluralTheme,man,rgaz,rgaz
754,!sddaħmar,analysisPluralTheme,black man (pejorative),!sddaħmar,!sddaħmar
755,hrmma,analysisPluralTheme,man dressed in sheepskin (rite),hrmma,hrmma
756,bijlmawn,analysisPluralTheme,man dressed in sheepskin (rite),bijlmawn,bijlmawn
757,maziʁ,analysisPluralTheme,"free, Berber",maziʁ,maziʁ
759,madir,analysisPluralTheme,hoe,madir,madir
760,ħʃaʃ,analysisPluralTheme,hut,ħʃaʃ,ħʃuʃ
761,fasiw,analysisPluralTheme,hyena,fasiw,fis
762,mdhaʃ,analysisPluralTheme,impressionable person,mdhaʃ,mdhuʃ
764,mllʁtazlaft,analysisPluralTheme,freeloader,mllʁtazlaft,mllʁtazlaft
765,umla,analysisPluralTheme,"indications, information",umla,
766,kuʃam,analysisPluralTheme,handicapped person who cannot walk,kuʃam,kuʃam
768,nkkar,analysisPluralTheme,ungrateful person,nkkar,nkkar
769,!lutarat,analysisPluralTheme,stringed musical instrument,!lutarat,!lutar
770,!skkrad,analysisPluralTheme,"instrument to scrape, scraper",!skkrad,!skkrd
774,lawa,analysisPluralTheme,intestine,lawa,liwi
778,skajri(j),analysisPluralTheme,drunkard,skajri(j),skajri
779,ħgʷra,analysisPluralTheme,crop,ħgʷra,ħgru
782,ħssad,analysisPluralTheme,jealous person,ħssad,ħssad
783,mħsad,analysisPluralTheme,"jealous, envious person",mħsad,mħsad
784,wraʁ,analysisPluralTheme,yellow person or thing,wraʁ,wraʁ
786,abbaj,analysisPluralTheme,card game with stakes,abbaj,abbaj
787,qʷmmar,analysisPluralTheme,gambler,qʷmmar,qʷmmar
789,guzz,analysisPluralTheme,cheek,guzz,guzz
790,mʒarraj,analysisPluralTheme,imitating a child's toy car,mʒarraj,mʒarraj
791,zzugla,analysisPluralTheme,yoke,zzugla,zzaglu
792,ussan,analysisPluralTheme,day,ussan,ass
793,mkara / kmir,analysisPluralTheme,day laborer,mkara / kmir,mkiri
794,nfraħ,analysisPluralTheme,merry person,nfraħ,nfruħ
795,udaj,analysisPluralTheme,Jew,udaj,udaj
797,mkraz,analysisPluralTheme,plowman,mkraz,mkraz
798,mχʃan,analysisPluralTheme,ugly person,mχʃan,mχʃun
801,adʁar,analysisPluralTheme,"shred of cloth or tissue, flap",adʁar,adʁar
802,mummuj,analysisPluralTheme,lamentation,mummuj,mummuj
803,sutal,analysisPluralTheme,"diaper, strip of cloth",sutal,satl
804,alsiw,analysisPluralTheme,tongue,alsiw,ils
805,qʷlil,analysisPluralTheme,rabbit,qʷlil,qʷlil
807,!mttaw,analysisPluralTheme,tear,!mttaw,!mtta
812,mggʷat,analysisPluralTheme,washer,mggʷat,mggʷa
813,sggʷrad,analysisPluralTheme,wash,sggʷrad,sggʷrd
818,brat,analysisPluralTheme,letter,brat,bra
819,nʃra,analysisPluralTheme,lip,nʃra,nʃr
820,anfur,analysisPluralTheme,lower lip,anfur,anfur
821,qʒdr,analysisPluralTheme,lizard,qʒdr,qʒdr
822,assas,analysisPluralTheme,link,assas,assas
823,skraf,analysisPluralTheme,"link, hobble for horse or other livestock",skraf,skrf
824,srir,analysisPluralTheme,meeting place,srir,srir
825,sujas,analysisPluralTheme,meeting place,sujas,sajs
826,wtl(a),analysisPluralTheme,hare,wtl(a),wtil
827,izmaw,analysisPluralTheme,lion,izmaw,izm
828,grzam,analysisPluralTheme,lion,grzam,grzam
829,ħlallaj,analysisPluralTheme,"smooth and rounded thing (e.g., a stone shaped by water)",ħlallaj,ħlallaj
831,ʁzzujfa,analysisPluralTheme,"long, tall, tall person",ʁzzujfa,ʁzzajfu
832,brda,analysisPluralTheme,rag,brda,brdi
833,ʃlliq,analysisPluralTheme,rag,ʃlliq,ʃlliq
834,hdduz,analysisPluralTheme,rag,hdduz,hdduz
835,ʁʷnʒaw,analysisPluralTheme,ladle,ʁʷnʒaw,ʁʷnʒa
836,sugam,analysisPluralTheme,scoop,sugam,sagʷm
837,srkas,analysisPluralTheme,ladle to mix,srkas,srks
839,krraj,analysisPluralTheme,"landlord, tenant",krraj,krraj
842,ufaw,analysisPluralTheme,light,ufaw,ufaw
843,ifaw,analysisPluralTheme,"light, clarity",ifaw,ifaw
844,mhddr,analysisPluralTheme,"luron, energetic person, joker",mhddr,mhddr
846,maʁ,analysisPluralTheme,"fight, fight action",maʁ,miʁ
847,agʒiw,analysisPluralTheme,jaw,agʒiw,agʒa
848,bnnaj,analysisPluralTheme,mason,bnnaj,bnnaj
849,ndʕaf,analysisPluralTheme,lean person or animal,ndʕaf,ndʕuf
851,msduda,analysisPluralTheme,skinny person or animal,msduda,msdadu
852,fass,analysisPluralTheme,hand,fass,fus
853,!kʷrʃʃid,analysisPluralTheme,hand (pejorative),!kʷrʃʃid,!kʷrʃʃid
854,gʷmma,analysisPluralTheme,home,gʷmma,gmmi
855,!mddsr,analysisPluralTheme,"impolite, turbulent person",!mddsr,!mddsr
856,!mudan,analysisPluralTheme,sick person (patient),!mudan,!madun
858,waʃʃ,analysisPluralTheme,"unlucky person, someone who attracts problems",waʃʃ,waʃʃ
859,iwtma,analysisPluralTheme,male,iwtma,awtm
860,!ddukka,analysisPluralTheme,handlebar plow,!ddukka,!ddakku
863,skʷtaj,analysisPluralTheme,crank,skʷtaj,skʷti
865,glagal,analysisPluralTheme,marsh,glagal,glagal
867,skʷfal,analysisPluralTheme,stair,skʷfal,skʷfl
868,mzigz,analysisPluralTheme,walker,mzigz,mzigz
869,mʁriw,analysisPluralTheme,marriage,mʁriw,mʁra
870,bħri(j),analysisPluralTheme,"marine, sailor",bħri(j),bħri
871,kin,analysisPluralTheme,cooking pot,kin,kin
872,gʷdar,analysisPluralTheme,cooking pot,gʷdar,gdur
873,kssal,analysisPluralTheme,masseur,kssal,kssal
875,mhraʃ,analysisPluralTheme,bad person,mhraʃ,mhruʃ
876,!gzzaz,analysisPluralTheme,stomach ache,!gzzaz,!gzzaz
877,!dbib,analysisPluralTheme,doctor,!dbib,!dbib
878,safar,analysisPluralTheme,drug,safar,safar
879,bʒaw,analysisPluralTheme,mehari (dromedary camel),bʒaw,bʒaw
880,mrwaj,analysisPluralTheme,"mixture, mess",mrwaj,mrwaj
883,rggʷaj,analysisPluralTheme,"mixing, disorder",rggʷaj,rggʷaj
884,frdaj,analysisPluralTheme,"member of a pair of things (e.g., shoes, socks)",frdaj,frdi
886,mnqqar,analysisPluralTheme,beggar,mnqqar,mnqqr
887,ikrkas,analysisPluralTheme,lie,ikrkas,
888,!nʒʒar,analysisPluralTheme,carpenter,!nʒʒar,!nʒʒar
890,mkraj,analysisPluralTheme,mercenary,mkraj,mkraj
891,sqqʷal,analysisPluralTheme,measurement (= arm),sqqʷal,sqqul
892,!ftri,analysisPluralTheme,grain measure,!ftri,!ftri
893,!ʕbbar,analysisPluralTheme,"measuring, measuring vessel, weighing or measuring person",!ʕbbar,!ʕbbar
894,sttwa,analysisPluralTheme,loom,sttwa,stta
896,ħzgan,analysisPluralTheme,mestizo,ħzgan,ħzgan
900,swwan,analysisPluralTheme,kite,swwan,swwan
901,!afda,analysisPluralTheme,thousand,!afda,!ifd
902,!drrab,analysisPluralTheme,minor,!drrab,!drrab
903,zbabaj,analysisPluralTheme,"tiny, thin thing",zbabaj,zbabaj
906,!zakka,analysisPluralTheme,sparrow,!zakka,!zikki
907,irn,analysisPluralTheme,month,irn,ajjur
908,nʁmal,analysisPluralTheme,"mold, fungus",nʁmal,nʁmal
911,ħʃm(i),analysisPluralTheme,"kid, child",ħʃm(i),ħʃmi
912,murran,analysisPluralTheme,monster (extremely strong person),murran,murran
914,budrar,analysisPluralTheme,mountaineer,budrar,budrar
915,drar,analysisPluralTheme,mountain,drar,drar
917,budaz,analysisPluralTheme,mound,budaz,baduz
919,!tnnaz,analysisPluralTheme,mocker,!tnnaz,!tnnaz
920,frkkaj,analysisPluralTheme,piece,frkkaj,frkkuj
921,!qdiʕ,analysisPluralTheme,piece,!qdiʕ,!qdiʕ
922,!kʷʃʃad,analysisPluralTheme,piece of wood,!kʷʃʃad,!kʃʃud
923,ubbiʃ,analysisPluralTheme,piece of bread,ubbiʃ,ubbiʃ
924,gzʷma,analysisPluralTheme,"piece, tearing action",gzʷma,gzzum
925,brzzaj,analysisPluralTheme,"piece, shard",brzzaj,brzzuj
926,frda,analysisPluralTheme,mortar (container),frda,frdu
927,χʷlil,analysisPluralTheme,glanders (disease),χʷlil,χʷlil
928,qʷbajs,analysisPluralTheme,sod,qʷbajs,qʷbajs
929,!uttub,analysisPluralTheme,clod,!uttub,!uttub
930,lggʷaʁ,analysisPluralTheme,soft thing,lggʷaʁ,lggʷaʁ
931,iza(t),analysisPluralTheme,fly,iza(t),izi
932,udad,analysisPluralTheme,mouflon (wild sheep),udad,udad
935,zrgʷa,analysisPluralTheme,"quern, hand mill",zrgʷa,zrg
936,wabiba,analysisPluralTheme,mosquito,wabiba,wabiba
937,hraj,analysisPluralTheme,sheep,hraj,hruj
938,gnaw,analysisPluralTheme,mute,gnaw,gnaw
939,srdan,analysisPluralTheme,mule,srdan,srdun
940,buri,analysisPluralTheme,mullet (fish),buri,buri
942,ʁʷrb(a),analysisPluralTheme,wall,ʁʷrb(a),ʁʷrab
943,qʷmma,analysisPluralTheme,snout,qʷmma,qmmu
944,gʷnfar,analysisPluralTheme,snout,gʷnfar,gnfur
945,skʷmas,analysisPluralTheme,"haversack, bag for bullets",skʷmas,skʷms
946,muslm,analysisPluralTheme,Muslim,muslm,muslm
947,ʕwwam,analysisPluralTheme,swimmer,ʕwwam,ʕwwam
949,χnχam,analysisPluralTheme,nasal (someone who speaks with a nasal sound),χnχam,χnχam
950,grtal,analysisPluralTheme,mat,grtal,grtil
952,rkm(a),analysisPluralTheme,turnip,rkm(a),rkkim
953,anaw,analysisPluralTheme,ship,anaw,anaw
954,suqqi,analysisPluralTheme,slave,suqqi,suqqi
955,wiw,analysisPluralTheme,slave,wiw,wajja
957,χittus,analysisPluralTheme,simpleton,χittus,χittus
958,sddja,analysisPluralTheme,nest,sddja,sddi
959,ajrris,analysisPluralTheme,node,ajrris,ajrris
960,mukris,analysisPluralTheme,"node, problem, boredom (fig)",mukris,mukris
961,sggan,analysisPluralTheme,black thing,sggan,sggan
965,smaw,analysisPluralTheme,name,smaw,sm
966,mntag,analysisPluralTheme,person who comes from Imntagn region,mntag,mntag
967,!rħħal,analysisPluralTheme,nomad,!rħħal,!rħħal
968,!ibuda,analysisPluralTheme,belly button,!ibuda,!abud
969,bahlal,analysisPluralTheme,nonchalant,bahlal,bahlal
970,nmʁur,analysisPluralTheme,notable,nmʁur,nmʁur
971,mʁur,analysisPluralTheme,notable person,mʁur,mʁur
972,mʁar,analysisPluralTheme,"notable, the village chief",mʁar,mʁar
973,wmmis,analysisPluralTheme,"nouet, amulet",wmmis,wmmis
974,unkir,analysisPluralTheme,"infant, sapling",unkir,unkir
975,mtʃa,analysisPluralTheme,food,mtʃa,mtʃu
976,mzda,analysisPluralTheme,"guest, an invited person",mzda,mzdi
977,ʁʷrma,analysisPluralTheme,core,ʁʷrma,ʁʷrmi
978,mdla,analysisPluralTheme,cloud,mdla,mdlu
979,!ada,analysisPluralTheme,night,!ada,!id
980,!ħttaz,analysisPluralTheme,obese person,!ħttaz,!ħttuz
981,!tbbaz,analysisPluralTheme,obese person,!tbbaz,!tbbuz
982,!ħtabbaz,analysisPluralTheme,obese person,!ħtabbaz,!ħtabbaz
983,afaw,analysisPluralTheme,luminous object,afaw,afaw
984,illas,analysisPluralTheme,darkness,illas,
985,wwuriw,analysisPluralTheme,occupation,wwuriw,wwuri
986,mrsal,analysisPluralTheme,red ocher,mrsal,mrsal
988,!ittaw,analysisPluralTheme,eye,!ittaw,!it
989,glaj,analysisPluralTheme,egg,glaj,glaj
990,!ʁʷzn(a),analysisPluralTheme,ogre,!ʁʷzn(a),!ʁʷzn
991,mʁuz,analysisPluralTheme,scavenger bird,mʁuz,mʁuz
992,fraraj,analysisPluralTheme,chick,fraraj,fraraj
993,sajlal,analysisPluralTheme,chick,sajlal,sajlal
994,skʷla,analysisPluralTheme,shadow,skʷla,sklu
995,mula,analysisPluralTheme,shadow,mula,malu
997,askar,analysisPluralTheme,"nail, fingernail",askar,iskr
999,mzzaʁ,analysisPluralTheme,ear,mzzaʁ,mzzuʁ
1000,!wsad,analysisPluralTheme,pillow,!wsad,!wsad
1001,sjjaʁ,analysisPluralTheme,goldsmith,sjjaʁ,sjjaʁ
1002,!aldiw,analysisPluralTheme,stye,!aldiw,!ild
1004,nkkubra,analysisPluralTheme,proud person (negative connotation),nkkubra,nkkabru
1005,ħaħ(a),analysisPluralTheme,Haha native (region of Morocco),ħaħ(a),ħiħi
1007,gigil,analysisPluralTheme,orphan,gigil,gigil
1008,fdn,analysisPluralTheme,toe,fdn,fdni
1009,fnza,analysisPluralTheme,"toe, hoof",fnza,fnzi
1010,χsa,analysisPluralTheme,bone,χsa,χs
1011,!zzmaj,analysisPluralTheme,"wicker, cane, plants with flexible stems",!zzmaj,!zzmaj
1012,gʷʒʒim,analysisPluralTheme,ouran (peacock monitor lizard),gʷʒʒim,gʷʒʒim
1014,mħukkut,analysisPluralTheme,tool to rub the skin,mħukkut,mħukku
1015,gʷʃʃal,analysisPluralTheme,sack made from the skin of an animal,gʷʃʃal,gʃʃul
1016,ajddid,analysisPluralTheme,"water sack, made from animal skin",ajddid,ajddid
1018,mʃʁal,analysisPluralTheme,worker,mʃʁal,mʃʁul
1021,anʁiw,analysisPluralTheme,palate (mouth),anʁiw,anʁa
1022,gʷʒʒaf,analysisPluralTheme,date palm,gʷʒʒaf,gʒʒuf
1023,balliw,analysisPluralTheme,"part of a dress than hangs down, bang",balliw,billu
1024,sgras,analysisPluralTheme,shopping cart,sgras,sgrs
1025,arjal,analysisPluralTheme,shopping cart,arjal,arjal
1026,azgaw,analysisPluralTheme,shopping cart,azgaw,azgaw
1027,bddiz,analysisPluralTheme,"rumen, first stomach of a ruminant",bddiz,bddiz
1028,!frtuttu,analysisPluralTheme,butterfly,!frtuttu,!frtuttu
1030,waliw,analysisPluralTheme,"speech, language",waliw,wal
1032,χʷrbiʃ,analysisPluralTheme,part of a Koranic school,χʷrbiʃ,χʷrbiʃ
1033,ʃbbiħ,analysisPluralTheme,step (walking),ʃbbiħ,ʃbbiħ
1036,dikal,analysisPluralTheme,palm,dikal,dikl
1037,argliw,analysisPluralTheme,eyelid,argliw,irgl
1038,gllin,analysisPluralTheme,"poor, pitiful",gllin,gllin
1039,mizar,analysisPluralTheme,"country, region",mizar,mazir
1040,lmaw,analysisPluralTheme,skin,lmaw,lm
1043,!hidar,analysisPluralTheme,sheepskin,!hidar,!hidur
1044,ilawʃiw,analysisPluralTheme,sheepskin to sit,ilawʃiw,iliwʃ
1045,!sjjad,analysisPluralTheme,fisherman or hunter,!sjjad,!sjjad
1046,sbbaʁn,analysisPluralTheme,painter (non-artistic painting),sbbaʁn,sbbaʁ
1049,ilmʃaw,analysisPluralTheme,peel,ilmʃaw,ilmʃ
1050,!bʒdad,analysisPluralTheme,penis,!bʒdad,!bʒdid
1051,!bazzat,analysisPluralTheme,penis,!bazzat,!bazza
1052,bukka,analysisPluralTheme,animal penis,bukka,bakku
1053,swingim,analysisPluralTheme,"thought, reflection",swingim,swingim
1054,aggsar,analysisPluralTheme,sloping ravine,aggsar,aggsar
1055,!grnad,analysisPluralTheme,partridge,!grnad,!grnid
1056,skʷr(a),analysisPluralTheme,partridge,skʷr(a),skkur
1058,bijrkan,analysisPluralTheme,filthy person,bijrkan,bijrkan
1059,mdulla,analysisPluralTheme,person without self-esteem,mdulla,mdallu
1060,uʒliχ,analysisPluralTheme,very dirty person,uʒliχ,uʒliχ
1061,!ssdal,analysisPluralTheme,small tub,!ssdal,!ssdl
1063,ʁrʁʷar,analysisPluralTheme,small hand mill,ʁrʁʷar,ʁrʁur
1064,ddwajrit,analysisPluralTheme,parlor,ddwajrit,ddwajri
1065,mʒiwʒ,analysisPluralTheme,small tornado,mʒiwʒ,mʒiwʒ
1066,kʷssad,analysisPluralTheme,fear,kʷssad,
1068,!dar,analysisPluralTheme,foot,!dar,!dar
1069,!zra(t),analysisPluralTheme,stone,!zra(t),!zru
1070,igguna,analysisPluralTheme,stone,igguna,aggun
1071,smsad,analysisPluralTheme,"whetstone, sharpening",smsad,smsd
1072,nka,analysisPluralTheme,stone fireplace,nka,nk
1073,tbir,analysisPluralTheme,pigeon,tbir,tbir
1075,imura,analysisPluralTheme,pestle,imura,amur
1076,sukkam,analysisPluralTheme,pestle,sukkam,sakkʷm
1077,subbak,analysisPluralTheme,"pestle, mallet",subbak,sabbuk
1078,fifl,analysisPluralTheme,chili (du),fifl,fifl
1080,bbunaz,analysisPluralTheme,Pinch,bbunaz,bbuniz
1081,sukas,analysisPluralTheme,tweezers for removing thorns,sukas,
1082,glzam,analysisPluralTheme,pickaxe,glzam,glzim
1083,ugas,analysisPluralTheme,"picket, stake",ugas,agus
1084,!bijbzdan,analysisPluralTheme,pissing,!bijbzdan,!bijbzdan
1085,zaʁar,analysisPluralTheme,plain,zaʁar,zaʁar
1086,smummij,analysisPluralTheme,complaint,smummij,smummi
1087,smummuj,analysisPluralTheme,complaint,smummuj,smummuj
1091,baʃil,analysisPluralTheme,sole (of foot),baʃil,baʃil
1093,fllan,analysisPluralTheme,earthenware dish for bread,fllan,fllun
1094,!rbʕaj,analysisPluralTheme,tray made of palm leaves,!rbʕaj,!rbʕi
1095,!nada,analysisPluralTheme,fold,!nada,!nidi
1096,!nzar,analysisPluralTheme,rain,!nzar,!nzar
1097,!rʃʃaʃ,analysisPluralTheme,very light rain,!rʃʃaʃ,!rʃʃaʃ
1098,nutaf,analysisPluralTheme,"plucked (of an animal, e.g., lost feathers or fur)",nutaf,natuf
1099,lʒjub,analysisPluralTheme,pocket,lʒjub,lʒib
1100,lmqlat,analysisPluralTheme,stove,lmqlat,lmqla
1101,zla,analysisPluralTheme,poem,zla,zli
1102,!nddam,analysisPluralTheme,"poet; poem, poetry, poet, wife, job, art of the poet",!nddam,!nddam
1103,!ummaz,analysisPluralTheme,handle,!ummaz,!ummaz
1104,!ummiz,analysisPluralTheme,handle,!ummiz,!ummiz
1105,azbal,analysisPluralTheme,hair,azbal,izbl
1106,slm(a),analysisPluralTheme,fish,slm(a),slm
1107,dmar,analysisPluralTheme,chest,dmar,dmr
1108,gnannaj,analysisPluralTheme,polished and rounded (stone),gnannaj,gnannaj
1110,uraʃ,analysisPluralTheme,porcupine,uraʃ,aruʃ
1111,flw(a),analysisPluralTheme,portal,flw(a),flu
1112,iggura,analysisPluralTheme,portal,iggura,aggur
1113,massaj,analysisPluralTheme,"carrier, transporter",massaj,massaj
1114,grrab,analysisPluralTheme,carrier of water,grrab,grrab
1115,nmdaj,analysisPluralTheme,setter of traps,nmdaj,nmdaj
1116,gʷnnir,analysisPluralTheme,"ass, backside",gʷnnir,gʷnnir
1117,ʃigim,analysisPluralTheme,terracotta pot,ʃigim,ʃigim
1118,ʒwwal,analysisPluralTheme,pot for plants,ʒwwal,ʒwwal
1119,gʷmz(a),analysisPluralTheme,inch,gʷmz(a),gʷmz
1121,nʁʷra,analysisPluralTheme,chicken coop,nʁʷra,nʁʷr
1122,ʒdaʕ,analysisPluralTheme,foal,ʒdaʕ,ʒdaʕ
1123,zujaz,analysisPluralTheme,octopus,zujaz,zajz
1126,ʁʷbbar,analysisPluralTheme,dust,ʁʷbbar,ʁʷbbar
1127,!gʷdrar,analysisPluralTheme,dust,!gʷdrar,!gdrur
1128,kjjaw,analysisPluralTheme,chick,kjjaw,kjjaw
1129,gʒda,analysisPluralTheme,wooden beam,gʒda,gʒdi
1130,mzwura,analysisPluralTheme,first thing,mzwura,mzwaru
1131,mzwar,analysisPluralTheme,first predecessor,mzwar,mzwur
1133,mitar,analysisPluralTheme,proof,mitar,matar
1137,!iwmmaz,analysisPluralTheme,taking both hands,!iwmmaz,!awmmiz
1140,tarwa,analysisPluralTheme,"offspring, progeny",tarwa,arraw
1142,murri,analysisPluralTheme,walk,murri,murri
1144,ʒmuʕ,analysisPluralTheme,"talk about, chat",ʒmuʕ,ʒmuʕ
1146,mggan,analysisPluralTheme,prostitute,mggan,mggan
1147,ʒarra,analysisPluralTheme,provincial (pejorative) person,ʒarra,ʒarra
1148,ʒkʷnaj,analysisPluralTheme,provincial (pejorative) person,ʒkʷnaj,ʒkʷni
1149,qwwad,analysisPluralTheme,procurer,qwwad,qwwad
1150,nzzumma,analysisPluralTheme,stinking,nzzumma,nzzammu
1153,ggʷrda,analysisPluralTheme,chip,ggʷrda,ggʷrdi
1155,nagam,analysisPluralTheme,whelk,nagam,nagam
1156,una,analysisPluralTheme,well,una,anu
1158,sqsit,analysisPluralTheme,issue interrogation,sqsit,sqsi
1159,mʁil,analysisPluralTheme,tail,mʁil,mʁil
1160,!mjjad,analysisPluralTheme,someone having the evil eye,!mjjad,!mjjad
1161,!mlzaj,analysisPluralTheme,one who has a sprain,!mlzaj,!mlzi
1162,mʕkas,analysisPluralTheme,one who likes to oppose,mʕkas,mʕkas
1163,!mittus,analysisPluralTheme,"one who sleeps all the time, lazy person",!mittus,!mittus
1164,mssfld,analysisPluralTheme,"listener, like in a radio audience",mssfld,mssfld
1165,msla,analysisPluralTheme,saddle,msla,msl
1166,!zura,analysisPluralTheme,"root, nerve",!zura,!zur
1172,nzdam,analysisPluralTheme,gatherer of wood,nzdam,nzdam
1173,gʷla,analysisPluralTheme,oar,gʷla,glu
1174,nbdad,analysisPluralTheme,banister,nbdad,nbdad
1175,sbraj,analysisPluralTheme,grater,sbraj,sbri
1176,bllaʁ,analysisPluralTheme,"protractor, rapporteur",bllaʁ,bllaʁ
1177,ngʷal,analysisPluralTheme,cactus racket,ngʷal,ngul
1178,!nrfad,analysisPluralTheme,spleen,!nrfad,!nrfd
1180,ʁzra,analysisPluralTheme,ravine,ʁzra,ʁzr
1181,!znzar,analysisPluralTheme,sunbeam,!znzar,!znzar
1182,!krraʒ,analysisPluralTheme,scratch,!krraʒ,!krraʒ
1184,lukaf,analysisPluralTheme,rubber container (part of waterwheel),lukaf,lukaf
1185,anas,analysisPluralTheme,copper,anas,anas
1190,!msttr,analysisPluralTheme,ruler to draw,!msttr,!msttr
1192,!gzzal,analysisPluralTheme,"kidney, kidney",!gzzal,!gzzl
1193,buʁaʁ,analysisPluralTheme,fox,buʁaʁ,baʁuʁ
1194,lmuggar,analysisPluralTheme,"meeting, moussem (Mawsim, a religious festival)",lmuggar,lmuggar
1195,iram,analysisPluralTheme,meal,iram,irm
